year,static_share,dynamic_share,linear_share,country,static_change,dynamic_change,divergence,linear_change
2032,0.5132617139132445,0.5678399970405325,0.5025542441250117,Greece,0.009513616802025893,0.017938236238020377,0.05457828312728796,0.014605043284046104
2033,0.5227753307152704,0.5907386417168644,0.5171592874090614,Greece,0.009513616802025893,0.02289864467633196,0.06796331100159403,0.014605043284049657
2034,0.5322889475172963,0.6222662418116918,0.531764330693111,Greece,0.009513616802025893,0.03152760009482736,0.0899772942943955,0.014605043284049657
2035,0.5418025643193222,0.6545523563144588,0.5463693739771607,Greece,0.009513616802025893,0.03228611450276708,0.11274979199513668,0.014605043284049657
2022,0.15429736599536326,0.15429736599536326,0.07891422223388389,Hungary,,,0.0,
2023,0.17277523893240088,0.17277523893240088,0.08313662639506525,Hungary,0.01847787293703762,0.01847787293703762,0.0,0.004222404161181359
2024,0.1912531118694385,0.18955641661007738,0.08735903055624483,Hungary,0.01847787293703762,0.016781177677676506,-0.001696695259361114,0.004222404161179583
2025,0.20973098480647612,0.20652780082111416,0.09158143471742619,Hungary,0.01847787293703762,0.016971384211036777,-0.003203183985361957,0.004222404161181359
2026,0.22820885774351374,0.22460134136761423,0.09580383887860755,Hungary,0.01847787293703762,0.018073540546500066,-0.003607516375899511,0.004222404161181359
2027,0.24668673068055136,0.24256581344890762,0.10002624303978891,Hungary,0.01847787293703762,0.017964472081293398,-0.004120917231643734,0.004222404161181359
